Pais,PIB per capita,Indice de felicidad
Russia,9054914,6
Turkey,9437372,5.6
Hungary,12239893,4.9
Poland,12495333,5.8
Slovak Republic,15991736,6.1
Estonia,17288083,5.6
Greece,18064288,4.8
Portugal,19121592,5.1
Slovenia,20732482,5.7
Spain,25864721,6.5
Korea,27195197,5.8
Italy,29866581,6
Japan,32485545,5.9
Israel,35343336,7.4
New Zealand,37044891,7.3
France,37675006,6.5
Belgium,40106632,6.9
Germany,40996511,7
Finland,41973988,7.4
Canada,43331960,7.3
Netherlands,43603115,7.3
Austria,43724030,6.9
United Kingdom,43770687,6.8
Sweden,49866265,7.2
Iceland,50854583,7.5
Australia,50961865,7.3
Ireland,51350744,7
Denmark,52114165,7.5
United States,55805204,7.2
